case,time_ms,travel_mm,W_N,P_N,W_raw_N,crest_lift_mm,tip_lift_mm,rotation_deg
extract_mu000,0.91801,0.055318,0.565069,0.542372,0.752893,0.047511,0.060060,0.58232
extract_mu000,0.92251,0.056048,0.573513,0.552770,0.821568,0.048284,0.061021,0.59127
extract_mu000,0.92700,0.056784,0.561604,0.560325,0.678930,0.049232,0.062280,0.60514
extract_mu000,0.93150,0.057525,0.542537,0.566050,0.560448,0.050163,0.063526,0.61905
extract_mu000,0.93602,0.058276,0.533790,0.572281,0.534507,0.051062,0.064748,0.63310
extract_mu000,0.94052,0.059029,0.544646,0.580204,0.537496,0.051917,0.065893,0.64582
extract_mu000,0.94502,0.059786,0.573867,0.590731,0.572509,0.052469,0.066483,0.64891
extract_mu000,0.94951,0.060549,0.609643,0.602577,0.784255,0.053021,0.067073,0.65200
extract_mu000,0.95400,0.061318,0.633296,0.613154,0.821061,0.053785,0.068033,0.66093
extract_mu000,0.95851,0.062095,0.635826,0.621559,0.719824,0.054577,0.069041,0.67059
extract_mu000,0.96302,0.062876,0.622284,0.628202,0.744653,0.055551,0.070332,0.68502
extract_mu000,0.96752,0.063664,0.604439,0.634586,0.538037,0.056614,0.071764,0.70180
extract_mu000,0.97200,0.064452,0.599628,0.642853,0.419137,0.057512,0.072938,0.71419
extract_mu000,0.97652,0.065253,0.617352,0.653828,0.583821,0.058224,0.073817,0.72142
extract_mu000,0.98102,0.066055,0.650019,0.665926,0.593096,0.058920,0.074658,0.72814
extract_mu000,0.98552,0.066864,0.683598,0.677071,0.684883,0.059578,0.075391,0.73325
extract_mu000,0.99002,0.067678,0.703274,0.686174,0.857441,0.060238,0.076127,0.73842
extract_mu000,0.99452,0.068497,0.700719,0.692779,0.708285,0.061288,0.077571,0.75533
extract_mu000,0.99901,0.069321,0.684237,0.698935,0.546093,0.062338,0.079013,0.77223
extract_mu000,1.00352,0.070155,0.671247,0.707489,0.535152,0.063309,0.080258,0.78488
extract_mu000,1.00801,0.070989,0.674615,0.718635,0.478553,0.064253,0.081441,0.79629
extract_mu000,1.01251,0.071831,0.698100,0.731624,0.474228,0.065017,0.082363,0.80381
extract_mu000,1.01700,0.072677,0.733477,0.744400,0.721093,0.065636,0.083078,0.80828
extract_mu000,1.02152,0.073535,0.761326,0.754098,0.840893,0.066390,0.084002,0.81641
extract_mu000,1.02602,0.074394,0.767363,0.760899,0.770565,0.067393,0.085323,0.83164
extract_mu000,1.03051,0.075256,0.755167,0.767047,0.669353,0.068400,0.086651,0.84683
extract_mu000,1.03501,0.076127,0.741904,0.774530,0.532302,0.069453,0.088054,0.86188
extract_mu000,1.03950,0.077001,0.744556,0.785470,0.511838,0.070503,0.089454,0.87690
extract_mu000,1.04402,0.077886,0.767640,0.799412,0.604165,0.071226,0.090245,0.88138
extract_mu000,1.04851,0.078771,0.800570,0.813131,0.791737,0.071906,0.090958,0.88457
extract_mu000,1.05301,0.079664,0.824136,0.824569,0.973270,0.072814,0.092112,0.89598
extract_mu000,1.05751,0.080562,0.824796,0.832764,0.983020,0.073833,0.093482,0.91139
extract_mu000,1.06201,0.081466,0.810993,0.838588,0.625324,0.074875,0.094883,0.92727
extract_mu000,1.06650,0.082373,0.807467,0.845345,0.617051,0.075943,0.096319,0.94368
extract_mu000,1.07100,0.083289,0.824684,0.855469,0.802261,0.076936,0.097607,0.95722
extract_mu000,1.07552,0.084213,0.854302,0.868472,0.822651,0.077670,0.098384,0.96089
extract_mu000,1.08000,0.085136,0.879330,0.883172,1.219825,0.078399,0.099159,0.96459
extract_mu000,1.08450,0.086068,0.882157,0.896943,1.109838,0.079549,0.100668,0.98030
extract_mu000,1.08902,0.087009,0.869630,0.906574,0.842526,0.080704,0.102185,0.99608
extract_mu000,1.09352,0.087952,0.867181,0.913856,0.683826,0.081698,0.103496,1.01074
extract_mu000,1.09801,0.088899,0.888504,0.920431,0.895080,0.082647,0.104749,1.02508
extract_mu000,1.10250,0.089851,0.921345,0.928404,1.110474,0.083558,0.105909,1.03680
extract_mu000,1.10702,0.090816,0.943534,0.940762,1.270583,0.084444,0.107002,1.04653
extract_mu000,1.11152,0.091781,0.941778,0.955783,1.310447,0.085442,0.108248,1.05793
extract_mu000,1.11602,0.092753,0.926734,0.970501,0.699722,0.086665,0.109799,1.07268
extract_mu000,1.12052,0.093729,0.927983,0.983161,0.827324,0.087842,0.111287,1.08682
extract_mu000,1.12502,0.094712,0.953821,0.992342,0.975020,0.088658,0.112287,1.09636
extract_mu000,1.12951,0.095698,0.988379,0.998587,1.124249,0.089472,0.113285,1.10588
extract_mu000,1.13401,0.096691,1.008991,1.006278,1.343393,0.090583,0.114748,1.12209
extract_mu000,1.13850,0.097688,1.005113,1.016996,1.146834,0.091728,0.116263,1.13906
extract_mu000,1.14301,0.098695,0.992736,1.030564,0.761344,0.092842,0.117699,1.15322
extract_mu000,1.14750,0.099703,0.998111,1.046797,0.706220,0.093934,0.119086,1.16591
extract_mu000,1.15202,0.100724,1.025932,1.061520,1.090459,0.094938,0.120319,1.17674
extract_mu000,1.15652,0.101745,1.056550,1.072506,1.063398,0.095820,0.121347,1.18513
extract_mu000,1.16101,0.102770,1.071751,1.080904,1.272817,0.096796,0.122540,1.19629
extract_mu000,1.16550,0.103800,1.066560,1.088134,1.060500,0.098094,0.124305,1.21688
extract_mu000,1.17000,0.104838,1.059895,1.096781,0.637880,0.099393,0.126070,1.23746
extract_mu000,1.17452,0.105887,1.074053,1.109809,0.835227,0.100328,0.127190,1.24652
extract_mu000,1.17902,0.106936,1.104347,1.125682,1.064046,0.101259,0.128304,1.25554
extract_mu000,1.18351,0.107989,1.130277,1.141389,1.235019,0.102328,0.129631,1.26772
extract_mu000,1.18801,0.109049,1.136909,1.155537,1.193553,0.103437,0.131019,1.28081
extract_mu000,1.19251,0.110115,1.128468,1.165634,1.019202,0.104627,0.132576,1.29735
extract_mu000,1.19700,0.111184,1.127224,1.173093,0.709883,0.105877,0.134259,1.31653
extract_mu000,1.20151,0.112263,1.150453,1.181741,0.958531,0.107015,0.135726,1.33190
extract_mu000,1.20600,0.113344,1.185792,1.192858,1.306021,0.107923,0.136755,1.33967
extract_mu000,1.21052,0.114436,1.208916,1.207302,1.311657,0.108886,0.137877,1.34869
extract_mu000,1.21502,0.115530,1.210067,1.224194,1.424062,0.110207,0.139616,1.36628
extract_mu000,1.21951,0.116627,1.198865,1.239811,1.024544,0.111525,0.141352,1.38383
extract_mu000,1.22401,0.117731,1.201899,1.252238,0.876596,0.112637,0.142766,1.39828
extract_mu000,1.22850,0.118839,1.231495,1.262399,1.238864,0.113721,0.144139,1.41232
extract_mu000,1.23300,0.119955,1.269283,1.270768,1.476489,0.114800,0.145503,1.42612
extract_mu000,1.23752,0.121081,1.290155,1.280476,1.565995,0.115880,0.146866,1.43985
extract_mu000,1.24202,0.122207,1.285413,1.294488,1.486804,0.117089,0.148397,1.45483
extract_mu000,1.24651,0.123337,1.268036,1.311231,1.217099,0.118460,0.150135,1.47135
extract_mu000,1.25101,0.124475,1.261307,1.329570,0.990936,0.119741,0.151743,1.48628
extract_mu000,1.25551,0.125618,1.273442,1.346963,1.498155,0.120710,0.152897,1.49567
extract_mu000,1.26000,0.126763,1.285384,1.359742,1.653183,0.121678,0.154052,1.50510
extract_mu000,1.26452,0.127923,1.283792,1.367943,1.567219,0.122954,0.155885,1.52659
extract_mu000,1.26902,0.129082,1.282566,1.373280,1.589329,0.124224,0.157709,1.54799
extract_mu000,1.27351,0.130244,1.320928,1.375748,0.209470,0.124715,0.158158,1.55010
extract_mu000,1.27801,0.131414,1.422824,1.376292,1.519502,0.124992,0.158226,1.54688
extract_mu000,1.28250,0.132587,1.517047,1.381448,2.461344,0.125618,0.158869,1.55075
extract_mu000,1.28702,0.133774,1.533535,1.388397,1.529926,0.126524,0.159968,1.56023
extract_mu000,1.29151,0.134958,1.468881,1.402651,2.256506,0.127876,0.161738,1.57860
extract_mu000,1.29601,0.136150,1.348672,1.428746,1.216065,0.130119,0.164840,1.61459
extract_mu000,1.30050,0.137344,1.251385,1.455484,0.933684,0.132186,0.167681,1.64700
extract_mu000,1.30502,0.138552,1.244602,1.484634,0.812128,0.132960,0.168594,1.65286
